visitor,home_geohash,home_cbg
a469644f510851b8b0a6e764099674283fd2e08b996d3a3440aa3b7fac94735d,dr47pfy,421010062004
a7f4b0ef596b361795458faa111e0ee6d13a610d7e446f5a84ded6fa504c0e7e,dr47x7j,420912056003
1d4958c47a01e88ad5bcea5f9c9c601073669650f053f10159be88da8cb078fd,dr47r3h,420454003014
6b084d06fb44f8c6246265578c722a781fbdac93ec0b3479db6252e50b7c8e3e,dr47ruw,421010112004
4962a3d1e12a1a11061bffa5289754844c8f89660b3e75f9a0d4dfa3aac20203,dr47rtt,421010115003
f3204532ed2bfeb8b19823a10be37ae5fda8fd3cd2c31474b6e8d617bb4c334b,dr47rbm,421010081012
15dfc427d7f50c27dbc44b55a931f2923ce38e74e0a2700203cdfce815d5c193,dr47rbb,421010082007
253fe2a87e7f230c0b9b1b474b2ffe3deee2c1c5ae193f895251aad1170fc20f,dr47r39,420454004022
7d5c740c3378b63e1185e6df4bd528685d42209c16b48b4b8a4926855b100ca6,dr47r4x,420454007002
04098726eaf1c083f956141c5c9588e76fa7282808d97f67fa090e7765486230,dr47ruy,421010112004
06aa27baa78f9e9b9e1fcf0c6e02906d05b821c5758b3123bc8e956c7d8189fd,dr47pde,420454027001
dcaa0d027bcefde680d2189a8a2ed4e3a35901b1c4c3039ff27584f15a9cc48e,dr47pft,421010060005
65c376b42cf32dd15ef8beef6c665ddd838fe170f5bcb8f29c22e9a20042f4ca,dr47qg2,420454006002
88629e985795696fd111adc9463442606721686712a6da04415a5da10623da37,dr47rbe,421010082002
dc6cf2d88ab3fac281fc8f9a7602a461ed32676084ec9b125248a15828f39345,dr47rvz,421010113001
9d9730123ea03c9e6e921c079572f2f1e6b5dc52308f90eecf795564ea545a27,dr47rc6,421010083021
c0af62ad5671b396210da3d03205b1d7748b5ba2013e05ff596805dc4b4d46fc,dr47zfv,421010219001
1f6c8e41a0e5df4ad2bf99b55bc0bd5ed66dd174229daab14d3e64c0963eac15,dr47r2p,420454003022
02372079d3fbbb9ee7e4d297ca6d6c664f0d73fa0a56be53cd5936900ff4030b,dr47rtn,421010100003
5f0e174dcd87d047b2e9d551f93eb6be03ea31c320f2ceb1ede7a75b80059096,dr47rev,421010100001
fc4d51c34683aa8f1d39f6bd63f2f4a2e9d23bf15b5e84ca84334ea33006dbaa,dr47r9p,421010082005
760b8049213c12c6bacf470cde7a1fcfbe888b57f9056374d6ef056be57b557d,dr47rvk,421010101001
12c4d898ce556fc8743822d16393f12d12e99c350a9adb66025c638b12fe9e24,dr47rce,421010083024
3b55faff33ec81ff1ce85756c363109584addb0a9516759326aa4b34d1b42460,dr47rwh,421010115001
55e30bb65c7dd8e8f039eb0a43f92baca5f289247682640cba24570608c9114d,dr47zut,421010218001
2785c224323aaf3b0d5b606c7edf3a5b1ae8f2ce7c4ac1084c50c76146eb4516,dr47ruy,421010112004
